车辆ID,发车时间,发车位置,方向,期望速度,车辆类型名称,路径
11397,1179.317,758.6046_1.362484_1024.012,Right,25.05595,1_2,66_51
11398,1180.918,948.4979_0.8429536_909.7896,Left,23.21069,0_1,65_61
11399,1181.238,760.5212_0.730626_1012.166,Right,32.73705,0_3,66_65
11400,1182.038,877.7881_0.730626_1173.138,Left,29.98164,0_3,51_66
11401,1182.518,758.1254_0.688456_1026.974,Right,25.79306,0_4,66_51
11402,1182.678,1128.12_0.8433979_1094.446,Left,22.27946,0_2,61_66
11403,1184.438,760.5212_1.710887_1012.166,Right,24.97363,1_1,66_65
11404,1184.599,933.6493_0.730626_907.6638,Left,26.03767,0_3,65_66
11405,1184.759,877.7881_0.9621004_1173.138,Left,9.975367,2_0,51_66
11406,1185.399,880.7526_0.9621004_1173.598,Left,27.13043,2_0,51_65
11407,1186.519,759.0837_0.8433979_1021.051,Right,20.58368,0_2,66_61
11408,1186.679,948.4979_0.9621004_909.7896,Left,10.00758,2_0,65_61
11409,1187.479,1129.54_0.8651666_1085.559,Left,28.62654,0_0,61_65
11410,1187.479,933.6493_1.710887_907.6638,Left,19.0189,1_1,65_66
11411,1189.24,880.7526_0.8433979_1173.598,Left,12.05672,0_2,51_65
11412,1191.48,757.6463_0.9621004_1029.935,Right,17.24067,2_0,66_51
11413,1192.12,760.5212_0.688456_1012.166,Right,20.85447,0_4,66_65
11414,1193.72,757.6463_0.688456_1029.935,Right,31.09615,0_4,66_51
11415,1194.041,877.7881_0.8433979_1173.138,Left,21.26393,0_2,51_66
11416,1195.001,1129.54_0.688456_1085.559,Left,31.17249,0_4,61_65
11417,1195.641,1129.067_0.688456_1088.521,Left,26.4793,0_4,61_66
11418,1196.121,892.6105_0.9621004_1175.439,Left,12.63953,2_0,51_61
11419,1197.401,1127.646_0.9621004_1097.408,Left,26.62744,2_0,61_66
11420,1199.322,889.6461_0.9621004_1174.979,Left,11.65434,2_0,51_65
11421,1200.602,759.0837_0.730626_1021.051,Right,20.01786,0_3,66_61
11422,1201.562,892.6105_1.710887_1175.439,Left,9.282538,1_1,51_61
11423,1201.722,933.6493_0.8433979_907.6638,Left,23.40303,0_2,65_66
11424,1201.882,1129.067_0.8651666_1088.521,Left,18.86135,0_0,61_66
11425,1202.682,760.5212_0.688456_1012.166,Right,21.47955,0_4,66_65
11426,1203.162,877.7881_0.688456_1173.138,Left,20.00146,0_4,51_66
11427,1203.483,758.1254_0.9621004_1026.974,Right,23.27288,2_0,66_51
11428,1203.483,760.042_0.8429536_1015.128,Right,19.66091,0_1,66_61
11429,1205.723,1128.593_0.730626_1091.483,Left,7.272926,0_3,61_66
11430,1207.163,948.4979_0.8651666_909.7896,Left,21.53196,0_0,65_61
11431,1207.163,877.7881_0.8433979_1173.138,Left,11.67066,0_2,51_66
11432,1207.803,1129.54_0.8651666_1085.559,Left,8.72713,0_0,61_65
11433,1208.124,933.6493_0.8429536_907.6638,Left,29.76825,0_1,65_66
11434,1209.404,948.4979_0.8429536_909.7896,Left,7.33891,0_1,65_61
11435,1210.044,1129.067_0.9621004_1088.521,Left,14.922,2_0,61_66
